frame,timestamp,tier,agent_index,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,extra
1,0.249,GENERAL,0,0.000,0.000,5.000,0.000,0.000,0.000,0.000,N/A
1,0.249,NODE,0,-5.002,-4.992,3.000,-0.116,0.496,0.000,0.510,zone=0 dist=0.00m
1,0.249,NODE,1,5.002,-4.992,3.000,0.114,0.493,0.000,0.506,zone=1 dist=0.00m
1,0.249,NODE,2,-4.994,4.994,3.000,0.358,-0.363,0.000,0.510,zone=2 dist=0.00m
1,0.249,NODE,3,4.994,4.994,3.000,-0.362,-0.359,0.000,0.510,zone=3 dist=0.00m
1,0.249,SCOUT,0,-3.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,1,-5.000,-3.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,2,-6.500,-4.998,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,3,-5.000,-6.498,3.000,-0.023,0.099,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,4,6.500,-4.998,3.000,0.023,0.099,0.000,0.101,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,5,5.000,-3.498,3.000,0.023,0.099,0.000,0.101,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,6,3.500,-4.998,3.000,0.023,0.099,0.000,0.101,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,7,5.000,-6.498,3.000,0.023,0.099,0.000,0.101,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,8,-3.499,4.999,3.000,0.072,-0.073,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,9,-4.999,6.499,3.000,0.072,-0.073,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,10,-6.499,4.999,3.000,0.072,-0.073,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,11,-4.999,3.499,3.000,0.072,-0.073,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,12,6.499,4.999,3.000,-0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,13,4.999,6.499,3.000,-0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,14,3.499,4.999,3.000,-0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,SCOUT,15,4.999,3.499,3.000,-0.072,-0.072,0.000,0.102,cmd_age=0.02s bat=1.00 dist=0.00m
1,0.249,WORKER,0,-3.002,-4.996,3.000,-0.096,0.249,0.000,0.267,state=MOVING bat=1.00 dist=0.00m
1,0.249,WORKER,1,7.000,-4.996,3.000,0.020,0.266,0.000,0.267,state=MOVING bat=1.00 dist=0.00m
1,0.249,WORKER,2,-2.997,4.997,3.000,0.172,-0.204,0.000,0.267,state=MOVING bat=1.00 dist=0.00m
1,0.249,WORKER,3,6.997,4.997,3.000,-0.202,-0.175,0.000,0.267,state=MOVING bat=1.00 dist=0.00m
2,0.715,GENERAL,0,0.000,0.000,5.000,0.000,0.000,0.000,0.000,N/A
2,0.715,NODE,0,-5.004,-4.983,3.000,-0.120,0.519,0.000,0.532,zone=0 dist=0.01m
2,0.715,NODE,1,5.004,-4.983,3.000,0.120,0.522,0.000,0.535,zone=1 dist=0.01m
2,0.715,NODE,2,-4.988,4.988,3.000,0.376,-0.377,0.000,0.533,zone=2 dist=0.01m
2,0.715,NODE,3,4.988,4.988,3.000,-0.380,-0.379,0.000,0.537,zone=3 dist=0.01m
2,0.715,SCOUT,0,-3.501,-4.995,3.000,-0.043,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,1,-5.001,-3.495,3.000,-0.043,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,2,-6.501,-4.995,3.000,-0.043,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,3,-5.001,-6.495,3.000,-0.043,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,4,6.501,-4.995,3.000,0.042,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,5,5.001,-3.495,3.000,0.042,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,6,3.501,-4.995,3.000,0.042,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,7,5.001,-6.495,3.000,0.042,0.183,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,8,-3.497,4.997,3.000,0.133,-0.133,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,9,-4.997,6.497,3.000,0.133,-0.133,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,10,-6.497,4.997,3.000,0.133,-0.133,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,11,-4.997,3.497,3.000,0.133,-0.133,0.000,0.188,cmd_age=0.02s bat=1.00 dist=0.00m
2,0.715,SCOUT,12,6.497,4.997,3.000,-0.134,-0.133,0.000,0.189,cmd_age=0.02s bat=1.00 dist=0.00m
