frame,timestamp,mission_phase,active_zones,overall_health,mean_scout_speed,max_scout_speed,mean_node_speed,manual_mode,bias_x,bias_y,altitude
1,0.249,EXPLORE,8,1.000,0.102,0.102,0.509,0,0.00,0.00,3.00
2,0.715,EXPLORE,8,1.000,0.188,0.189,0.534,0,0.00,0.00,3.00
3,1.137,EXPLORE,8,1.000,0.260,0.261,0.547,0,0.00,0.00,3.00
4,1.351,EXPLORE,8,1.000,0.319,0.320,0.557,0,0.00,0.00,3.00
5,1.549,EXPLORE,8,1.000,0.368,0.368,0.564,0,0.00,0.00,3.00
6,1.774,EXPLORE,8,1.000,0.408,0.409,0.569,0,0.00,0.00,3.00
7,2.009,EXPLORE,8,1.000,0.441,0.442,0.574,0,0.00,0.00,3.00
8,2.696,EXPLORE,8,1.000,0.469,0.469,0.579,0,0.00,0.00,3.00
9,3.133,EXPLORE,8,1.000,0.492,0.492,0.583,0,0.00,0.00,3.00
10,3.701,EXPLORE,8,1.000,0.511,0.511,0.586,0,0.00,0.00,3.00
11,3.892,EXPLORE,8,1.000,0.526,0.527,0.587,0,0.00,0.00,3.00
12,4.115,EXPLORE,8,1.000,0.539,0.539,0.589,0,0.00,0.00,3.00
13,4.574,EXPLORE,8,1.000,0.550,0.550,0.593,0,0.00,0.00,3.00
14,5.148,EXPLORE,8,1.000,0.559,0.559,0.595,0,0.00,0.00,3.00
15,5.336,EXPLORE,8,1.000,0.566,0.566,0.594,0,0.00,0.00,3.00
16,6.381,EXPLORE,8,1.000,0.571,0.572,0.594,0,0.00,0.00,3.00
17,7.356,EXPLORE,8,1.000,0.577,0.577,0.597,0,0.00,0.00,3.00
18,7.841,EXPLORE,8,1.000,0.580,0.581,0.596,0,0.00,0.00,3.00
19,9.734,EXPLORE,8,1.000,0.584,0.584,0.598,0,0.00,0.00,3.00
20,9.946,EXPLORE,8,1.000,0.586,0.586,0.596,0,0.00,0.00,3.00
21,10.180,EXPLORE,8,1.000,0.588,0.588,0.595,0,0.00,0.00,3.00
22,10.881,EXPLORE,8,1.000,0.590,0.590,0.595,0,0.00,0.00,3.00
23,11.071,EXPLORE,8,1.000,0.591,0.591,0.596,0,0.00,0.00,3.00
24,11.581,EXPLORE,8,1.000,0.592,0.592,0.596,0,0.00,0.00,3.00
25,11.791,EXPLORE,8,1.000,0.593,0.593,0.596,0,0.00,0.00,3.00
26,12.004,EXPLORE,8,1.000,0.593,0.593,0.596,0,0.00,0.00,3.00
27,12.233,EXPLORE,8,1.000,0.594,0.594,0.597,0,0.00,0.00,3.00
28,12.722,EXPLORE,8,1.000,0.595,0.595,0.597,0,0.00,0.00,3.00
29,12.913,EXPLORE,8,1.000,0.595,0.595,0.597,0,0.00,0.00,3.00
30,13.115,EXPLORE,8,1.000,0.596,0.596,0.597,0,0.00,0.00,3.00
31,13.366,EXPLORE,8,1.000,0.596,0.597,0.598,0,0.00,0.00,3.00
32,13.605,EXPLORE,8,1.000,0.597,0.597,0.599,0,0.00,0.00,3.00
33,13.823,EXPLORE,8,1.000,0.597,0.597,0.599,0,0.00,0.00,3.00
34,14.058,EXPLORE,8,1.000,0.598,0.598,0.599,0,0.00,0.00,3.00
35,14.288,EXPLORE,8,1.000,0.598,0.598,0.599,0,0.00,0.00,3.00
36,14.513,EXPLORE,8,1.000,0.598,0.598,0.599,0,0.00,0.00,3.00
37,14.746,EXPLORE,8,1.000,0.598,0.598,0.599,0,0.00,0.00,3.00
38,14.982,EXPLORE,8,1.000,0.598,0.599,0.599,0,0.00,0.00,3.00
39,15.208,EXPLORE,8,1.000,0.599,0.599,0.599,0,0.00,0.00,3.00
40,15.434,EXPLORE,8,1.000,0.599,0.599,0.600,0,0.00,0.00,3.00
